"Index","Batch","WEM","Audio","EventID","ActionID","SoundID","SourceID","DurationSec","Category","Character","OriginalTranscript","PTBR","Notes","Status","WhisperModel","WhisperLanguage","WhisperProbability","TranscriptionTimeSec"
"28","Batch_001","72740112.wem","Batch_001/0028_72740112.wav","1760100869","590152896","561852758","72740112","0,813","FALA","","That's everything.","","","TRANSCRIBED","small.en","en","1.0000","1.32"
"29","Batch_001","130214626.wem","Batch_001/0029_130214626.wav","2545964037","249723566","662727444","130214626","0,817","FALA","","He knows you?","","","TRANSCRIBED","small.en","en","1.0000","1.33"
"31","Batch_001","755475297.wem","Batch_001/0031_755475297.wav","3191307212","791774604","704516752","755475297","0,827","FALA","","That won't work.","","","TRANSCRIBED","small.en","en","1.0000","1.34"
"32","Batch_001","564551233.wem","Batch_001/0032_564551233.wav","2636156710","544445428","638224067","564551233","0,827","FALA","","Like what?","","","TRANSCRIBED","small.en","en","1.0000","1.29"
"33","Batch_001","348578007.wem","Batch_001/0033_348578007.wav","372632509","470505336","704257682","348578007","0,827","FALA","","There's the third.","","","TRANSCRIBED","small.en","en","1.0000","1.44"
"34","Batch_001","597854950.wem","Batch_001/0034_597854950.wav","3241640069","320124046","32791407","597854950","0,832","FALA","","I can't do that.","","","TRANSCRIBED","small.en","en","1.0000","1.77"
"35","Batch_001","111168223.wem","Batch_001/0035_111168223.wav","3569963574","1001120948","430729684","111168223","0,833","FALA","","Ah, shut it.","","","TRANSCRIBED","small.en","en","1.0000","1.77"
"36","Batch_001","900193839.wem","Batch_001/0036_900193839.wav","3543190865","33263017","229232438","900193839","0,833","FALA","","Punisher.","","","TRANSCRIBED","small.en","en","1.0000","1.74"
"37","Batch_001","140429898.wem","Batch_001/0037_140429898.wav","898193892","522389761","320174968","140429898","0,834","FALA","","What's the catch?","","","TRANSCRIBED","small.en","en","1.0000","1.73"
"38","Batch_001","833742253.wem","Batch_001/0038_833742253.wav","3713637175","702267632","404670054","833742253","0,834","FALA","","You mean Aaron.","","","TRANSCRIBED","small.en","en","1.0000","1.72"
"39","Batch_001","334746582.wem","Batch_001/0039_334746582.wav","295816390","149540834","966148903","334746582","0,834","FALA","","Go on.","","","TRANSCRIBED","small.en","en","1.0000","1.74"
"40","Batch_001","291902255.wem","Batch_001/0040_291902255.wav","3056621189","920046291","1017016097","291902255","0,847","FALA","","What was it like?","","","TRANSCRIBED","small.en","en","1.0000","1.73"
"41","Batch_001","824470248.wem","Batch_001/0041_824470248.wav","385739589","200481864","661397901","824470248","0,853","FALA","","Hear that, brother!","","","TRANSCRIBED","small.en","en","1.0000","1.75"
"42","Batch_001","367107921.wem","Batch_001/0042_367107921.wav","2854087502","3867541","508888825","367107921","0,859","FALA","","Aye, sir.","","","TRANSCRIBED","small.en","en","1.0000","1.71"
"44","Batch_001","38727352.wem","Batch_001/0044_38727352.wav","3224862482","222037952","221598300","38727352","0,879","FALA","","That's no good.","","","TRANSCRIBED","small.en","en","1.0000","1.78"
"45","Batch_001","541461070.wem","Batch_001/0045_541461070.wav","1574635234","401446043","486557715","541461070","0,883","FALA","","It's starting.","","","TRANSCRIBED","small.en","en","1.0000","1.73"
"46","Batch_001","596333364.wem","Batch_001/0046_596333364.wav","996111595","833855978","212615185","596333364","0,884","FALA","","You gotta hide me!","","","TRANSCRIBED","small.en","en","1.0000","1.80"
"47","Batch_001","560912128.wem","Batch_001/0047_560912128.wav","451855521","713365609","133451766","560912128","0,896","FALA","","Oblivion?","","","TRANSCRIBED","small.en","en","1.0000","1.70"
"48","Batch_001","731848657.wem","Batch_001/0048_731848657.wav","1337998135","1042833519","826777738","731848657","0,9","FALA","","Where's Basso?","","","TRANSCRIBED","small.en","en","1.0000","1.70"
"49","Batch_001","897844617.wem","Batch_001/0049_897844617.wav","3543770398","1009862860","334158153","897844617","0,901","FALA","","It's the best kind.","","","TRANSCRIBED","small.en","en","1.0000","1.79"
"50","Batch_001","1004298845.wem","Batch_001/0050_1004298845.wav","3293282188","225953132","765137024","1004298845","0,901","FALA","","Soar.","","","TRANSCRIBED","small.en","en","1.0000","1.71"
"51","Batch_001","639975831.wem","Batch_001/0051_639975831.wav","488069790","840304788","146623261","639975831","0,904","FALA","","I know!","","","TRANSCRIBED","small.en","en","1.0000","1.71"
"52","Batch_001","627935293.wem","Batch_001/0052_627935293.wav","2214432560","724850733","1014926060","627935293","0,905","FALA","","Interesting.","","","TRANSCRIBED","small.en","en","1.0000","1.66"
"53","Batch_001","471866784.wem","Batch_001/0053_471866784.wav","3392410201","175951935","478932114","471866784","0,919","FALA","","Look outside.","","","TRANSCRIBED","small.en","en","1.0000","1.70"
"54","Batch_001","55510424.wem","Batch_001/0054_55510424.wav","3359083402","323409150","896352145","55510424","0,919","FALA","","That doesn't go there.","","","TRANSCRIBED","small.en","en","1.0000","1.76"
"55","Batch_001","919374362.wem","Batch_001/0055_919374362.wav","2236051832","1006651323","549028734","919374362","0,92","FALA","","This looks useful.","","","TRANSCRIBED","small.en","en","1.0000","1.75"
"56","Batch_001","28391928.wem","Batch_001/0056_28391928.wav","355854794","43874702","777852873","28391928","0,92","FALA","","That makes two.","","","TRANSCRIBED","small.en","en","1.0000","1.76"
"57","Batch_001","938191861.wem","Batch_001/0057_938191861.wav","2286384689","765823039","529062363","938191861","0,922","FALA","","I could use that.","","","TRANSCRIBED","small.en","en","1.0000","1.74"
"59","Batch_001","1017305820.wem","Batch_001/0059_1017305820.wav","4023402410","698856192","550780876","1017305820","0,922","FALA","","What's that mean?","","","TRANSCRIBED","small.en","en","1.0000","1.78"
"60","Batch_001","927048682.wem","Batch_001/0060_927048682.wav","3765261802","71364058","321032045","927048682","0,925","FALA","","Fading","","","TRANSCRIBED","small.en","en","1.0000","1.74"
"61","Batch_001","503584387.wem","Batch_001/0061_503584387.wav","2231210147","1041478184","888097612","503584387","0,927","FALA","","What's that?","","","TRANSCRIBED","small.en","en","1.0000","1.78"
"62","Batch_001","829903043.wem","Batch_001/0062_829903043.wav","1042666289","363998529","759985361","829903043","0,929","FALA","","Thank you.","","","TRANSCRIBED","small.en","en","1.0000","1.73"
"63","Batch_001","921173421.wem","Batch_001/0063_921173421.wav","3581257700","783783444","505152437","921173421","0,931","FALA","","Not so loud!","","","TRANSCRIBED","small.en","en","1.0000","1.79"
"64","Batch_001","823705667.wem","Batch_001/0064_823705667.wav","422724153","677404689","438634294","823705667","0,934","FALA","","Getting married?","","","TRANSCRIBED","small.en","en","1.0000","1.71"
"65","Batch_001","959203466.wem","Batch_001/0065_959203466.wav","2252829419","537744300","17627223","959203466","0,937","FALA","","I could use this.","","","TRANSCRIBED","small.en","en","1.0000","1.75"
"66","Batch_001","360887369.wem","Batch_001/0066_360887369.wav","3942473354","935375167","324817258","360887369","0,937","FALA","","Looks pricey.","","","TRANSCRIBED","small.en","en","1.0000","1.72"
"67","Batch_001","778813174.wem","Batch_001/0067_778813174.wav","2065687702","1052523197","431685059","778813174","0,937","FALA","","The ritual.","","","TRANSCRIBED","small.en","en","1.0000","1.72"
"68","Batch_001","1063061087.wem","Batch_001/0068_1063061087.wav","3424746738","449994384","917725707","1063061087","0,946","FALA","","Tell me your name.","","","TRANSCRIBED","small.en","en","1.0000","1.76"
"69","Batch_001","1006709767.wem","Batch_001/0069_1006709767.wav","225660079","34411174","996156026","1006709767","0,959","FALA","","What, one eye?","","","TRANSCRIBED","small.en","en","1.0000","1.78"
"70","Batch_001","16292482.wem","Batch_001/0070_16292482.wav","781885249","714337614","15654722","16292482","0,962","FALA","","Remember me.","","","TRANSCRIBED","small.en","en","1.0000","1.73"
"71","Batch_001","1046566922.wem","Batch_001/0071_1046566922.wav","3427898081","917836929","646389710","1046566922","0,964","FALA","","Easy does it.","","","TRANSCRIBED","small.en","en","1.0000","1.74"
"72","Batch_001","315933206.wem","Batch_001/0072_315933206.wav","3523526370","411611558","916679059","315933206","0,966","FALA","","Too many guards.","","","TRANSCRIBED","small.en","en","1.0000","1.76"
"73","Batch_001","145630016.wem","Batch_001/0073_145630016.wav","14107373","162280588","877794139","145630016","0,967","FALA","","despair","","","TRANSCRIBED","small.en","en","1.0000","1.53"
"75","Batch_001","374410794.wem","Batch_001/0075_374410794.wav","1846577054","286811319","329135068","374410794","0,969","FALA","","Time for an exit.","","","TRANSCRIBED","small.en","en","1.0000","1.36"
"76","Batch_001","831440145.wem","Batch_001/0076_831440145.wav","2047205724","747358193","589686071","831440145","0,975","FALA","","You think this will hold?","","","TRANSCRIBED","small.en","en","1.0000","1.43"
"77","Batch_001","1018531196.wem","Batch_001/0077_1018531196.wav","548935516","383288426","547014407","1018531196","0,976","FALA","","Did he talk to you?","","","TRANSCRIBED","small.en","en","1.0000","1.85"
"78","Batch_001","530969235.wem","Batch_001/0078_530969235.wav","1375747910","642765473","260348761","530969235","0,977","FALA","","I could use this.","","","TRANSCRIBED","small.en","en","1.0000","1.79"
"79","Batch_001","627610828.wem","Batch_001/0079_627610828.wav","1572331927","801140388","828913332","627610828","0,981","FALA","","So cold!","","","TRANSCRIBED","small.en","en","1.0000","1.77"
"80","Batch_001","432000320.wem","Batch_001/0080_432000320.wav","3875362910","810660074","274034040","432000320","0,983","FALA","","I'll take this.","","","TRANSCRIBED","small.en","en","1.0000","1.74"
"81","Batch_001","861286715.wem","Batch_001/0081_861286715.wav","1354894830","535209366","83948682","861286715","0,985","FALA","","I can't make that.","","","TRANSCRIBED","small.en","en","1.0000","1.73"
"82","Batch_001","816378630.wem","Batch_001/0082_816378630.wav","1992660143","513295419","52310359","816378630","1,001","FALA","","The black tags?","","","TRANSCRIBED","small.en","en","1.0000","1.72"
"83","Batch_001","903710341.wem","Batch_001/0083_903710341.wav","4184360097","862407173","137005077","903710341","1,001","FALA","","Bad luck.","","","TRANSCRIBED","small.en","en","1.0000","1.71"
"84","Batch_001","298554319.wem","Batch_001/0084_298554319.wav","1863354737","444368724","705239761","298554319","1,007","FALA","","I need to get out of here.","","","TRANSCRIBED","small.en","en","1.0000","1.87"
"85","Batch_001","854499199.wem","Batch_001/0085_854499199.wav","1405227687","445898433","107351660","854499199","1,007","FALA","","I can't fit through that.","","","TRANSCRIBED","small.en","en","1.0000","1.79"
"86","Batch_001","916026085.wem","Batch_001/0086_916026085.wav","3232962523","58167495","771212542","916026085","1,014","FALA","","What's that mean?","","","TRANSCRIBED","small.en","en","1.0000","1.75"
"87","Batch_001","442044236.wem","Batch_001/0087_442044236.wav","1365390753","446606886","257354705","442044236","1,015","FALA","","Finally...","","","MANUAL_TRANSCRIBED","MANUAL","en","",""
"88","Batch_001","697282788.wem","Batch_001/0088_697282788.wav","869614451","1022207924","355277542","697282788","1,02","FALA","","Orion.","","","TRANSCRIBED","small.en","en","1.0000","1.69"
"90","Batch_001","1037817702.wem","Batch_001/0090_1037817702.wav","3157752038","683406032","224444927","1037817702","1,027","FALA","","That can't be right.","","","TRANSCRIBED","small.en","en","1.0000","1.78"
"91","Batch_001","431430945.wem","Batch_001/0091_431430945.wav","2097721411","556056099","622845292","431430945","1,035","FALA","","You going soft?","","","TRANSCRIBED","small.en","en","1.0000","1.76"
"92","Batch_001","409047569.wem","Batch_001/0092_409047569.wav","1358970323","489121831","989741814","409047569","1,039","FALA","","This will do nicely.","","","TRANSCRIBED","small.en","en","1.0000","1.78"
"93","Batch_001","920301962.wem","Batch_001/0093_920301962.wav","3174529625","489984894","223366276","920301962","1,054","FALA","","It doesn't work that way.","","","TRANSCRIBED","small.en","en","1.0000","1.84"
"94","Batch_001","504253636.wem","Batch_001/0094_504253636.wav","1611567706","73901326","33190956","504253636","1,057","FALA","","What do they say?","","","TRANSCRIBED","small.en","en","1.0000","1.83"
"95","Batch_001","165923554.wem","Batch_001/0095_165923554.wav","3361011483","10653340","997840992","165923554","1,058","FALA","","Poor Caleb.","","","TRANSCRIBED","small.en","en","1.0000","1.76"
"96","Batch_001","292303274.wem","Batch_001/0096_292303274.wav","1867356626","47409775","111956764","292303274","1,058","FALA","","Death...","","","MANUAL_TRANSCRIBED","MANUAL","en","",""
"97","Batch_001","929989629.wem","Batch_001/0097_929989629.wav","2649265093","167917597","871319121","929989629","1,061","FALA","","What happened to you?","","","TRANSCRIBED","small.en","en","1.0000","1.74"
"98","Batch_001","272200703.wem","Batch_001/0098_272200703.wav","41160056","271803665","291864555","272200703","1,068","FALA","","I'll get you your book.","","","TRANSCRIBED","small.en","en","1.0000","1.79"
"99","Batch_001","415978962.wem","Batch_001/0099_415978962.wav","3461453255","34794032","611472339","415978962","1,07","FALA","","No trouble at all.","","","TRANSCRIBED","small.en","en","1.0000","1.76"
"100","Batch_001","718012839.wem","Batch_001/0100_718012839.wav","34241672","227812407","375562660","718012839","1,075","FALA","","What are you doing?","","","TRANSCRIBED","small.en","en","1.0000","1.77"
"101","Batch_002","988715288.wem","Batch_002/0101_988715288.wav","3140974451","853664769","948694398","988715288","1,087","FALA","","That doesn't seem right.","","","TRANSCRIBED","small.en","en","1.0000","1.80"
"102","Batch_002","770080605.wem","Batch_002/0102_770080605.wav","3358083757","986122839","351760058","770080605","1,088","FALA","","FREEDOM","","","TRANSCRIBED","small.en","en","1.0000","1.81"
"103","Batch_002","672970291.wem","Batch_002/0103_672970291.wav","3959251069","127439557","716468314","672970291","1,089","FALA","","This will do nicely.","","","TRANSCRIBED","small.en","en","1.0000","1.81"
"104","Batch_002","757292548.wem","Batch_002/0104_757292548.wav","1442858482","458649672","37611876","757292548","1,095","FALA","","a fine piece.","","","TRANSCRIBED","small.en","en","1.0000","1.83"
"105","Batch_002","972858731.wem","Batch_002/0105_972858731.wav","520030803","669476803","19131970","972858731","1,095","FALA","","FRIGGIN' MONSTERS!","","","TRANSCRIBED","small.en","en","1.0000","1.93"
"106","Batch_002","781584840.wem","Batch_002/0106_781584840.wav","2938918989","455910179","624386789","781584840","1,101","FALA","","I don't know.","","","TRANSCRIBED","small.en","en","1.0000","1.85"
"107","Batch_002","253212335.wem","Batch_002/0107_253212335.wav","3529572942","596069772","616264213","253212335","1,101","FALA","","Well, remember that.","","","TRANSCRIBED","small.en","en","1.0000","1.86"
"108","Batch_002","979556710.wem","Batch_002/0108_979556710.wav","2269607006","639724389","85066016","979556710","1,104","FALA","","That looks useful.","","","TRANSCRIBED","small.en","en","1.0000","1.80"
"109","Batch_002","192487085.wem","Batch_002/0109_192487085.wav","872444375","874530826","367392272","192487085","1,115","FALA","","Remember me...","","","MANUAL_TRANSCRIBED","MANUAL","en","",""
"110","Batch_002","1048949208.wem","Batch_002/0110_1048949208.wav","3192371027","542368969","783624524","1048949208","1,12","FALA","","He's dead, brother!","","","TRANSCRIBED","small.en","en","1.0000","1.59"
"112","Batch_002","272603742.wem","Batch_002/0112_272603742.wav","1522572093","813372218","690889424","272603742","1,131","FALA","","How did finish then?","","","TRANSCRIBED","small.en","en","1.0000","1.36"
"113","Batch_002","704692640.wem","Batch_002/0113_704692640.wav","948735758","354406134","608177259","704692640","1,134","FALA","","I need a favor.","","","TRANSCRIBED","small.en","en","1.0000","1.35"
"114","Batch_002","528151165.wem","Batch_002/0114_528151165.wav","3281868771","713536406","290113082","528151165","1,134","FALA","","That's your answer.","","","TRANSCRIBED","small.en","en","1.0000","1.36"
"115","Batch_002","518039797.wem","Batch_002/0115_518039797.wav","3831384361","458565309","525553767","518039797","1,141","FALA","","I could probably get over there.","","","TRANSCRIBED","small.en","en","1.0000","1.39"
"116","Batch_002","143438724.wem","Batch_002/0116_143438724.wav","2403334882","280088796","796301526","143438724","1,144","FALA","","and the Baron's bust?","","","TRANSCRIBED","small.en","en","1.0000","1.40"
"117","Batch_002","174011257.wem","Batch_002/0117_174011257.wav","64470697","594959497","402319831","174011257","1,149","FALA","","That's ridiculous.","","","TRANSCRIBED","small.en","en","1.0000","1.35"
"118","Batch_002","974657530.wem","Batch_002/0118_974657530.wav","1426080799","712454948","131341758","974657530","1,151","FALA","","This looks useful.","","","TRANSCRIBED","small.en","en","1.0000","1.61"
"119","Batch_002","757582667.wem","Batch_002/0119_757582667.wav","2157606221","19627399","894686532","757582667","1,151","FALA","","Do you hear crying?","","","TRANSCRIBED","small.en","en","1.0000","1.74"
"120","Batch_002","610558789.wem","Batch_002/0120_610558789.wav","21816622","32460704","780178376","610558789","1,152","FALA","","What? Why?","","","TRANSCRIBED","small.en","en","1.0000","1.73"
"121","Batch_002","15140111.wem","Batch_002/0121_15140111.wav","3369576424","873309786","47130983","15140111","1,155","FALA","","So hungry!","","","TRANSCRIBED","small.en","en","1.0000","1.69"
"122","Batch_002","63485174.wem","Batch_002/0122_63485174.wav","3109943155","315466570","611347293","63485174","1,155","FALA","","But let's roll!","","","TRANSCRIBED","small.en","en","1.0000","1.72"
"123","Batch_002","801833393.wem","Batch_002/0123_801833393.wav","1084431539","383922212","616079477","801833393","1,159","FALA","","Oh, Libby.","","","TRANSCRIBED","small.en","en","1.0000","1.68"
"125","Batch_002","270191836.wem","Batch_002/0125_270191836.wav","3876381483","428827628","206341526","270191836","1,17","FALA","","One down, two to go.","","","TRANSCRIBED","small.en","en","1.0000","1.70"
"126","Batch_002","752327521.wem","Batch_002/0126_752327521.wav","1438782861","547860278","666030736","752327521","1,173","FALA","","I can't reach that.","","","TRANSCRIBED","small.en","en","1.0000","1.71"
"127","Batch_002","89428262.wem","Batch_002/0127_89428262.wav","1388450100","178419983","597533131","89428262","1,188","FALA","","I can't fit through that.","","","TRANSCRIBED","small.en","en","1.0000","1.74"
"128","Batch_002","412020070.wem","Batch_002/0128_412020070.wav","3814606774","65863683","763878045","412020070","1,188","FALA","","I could fit through there.","","","TRANSCRIBED","small.en","en","1.0000","1.81"
"129","Batch_002","250104555.wem","Batch_002/0129_250104555.wav","3776281097","411823826","571505455","250104555","1,192","FALA","","But for how long?","","","TRANSCRIBED","small.en","en","1.0000","1.48"
"130","Batch_002","1001406991.wem","Batch_002/0130_1001406991.wav","2837614623","172622681","233234196","1001406991","1,195","FALA","","Yeah? Then what?","","","TRANSCRIBED","small.en","en","1.0000","1.35"
"131","Batch_002","323532677.wem","Batch_002/0131_323532677.wav","2600442144","799096121","126814530","323532677","1,201","FALA","","It works for me.","","","TRANSCRIBED","small.en","en","1.0000","1.37"
"132","Batch_002","237528681.wem","Batch_002/0132_237528681.wav","3223271117","544764882","162154101","237528681","1,201","FALA","","I'm no savior.","","","TRANSCRIBED","small.en","en","1.0000","1.37"
"133","Batch_002","820757872.wem","Batch_002/0133_820757872.wav","1409303212","898215708","871927467","820757872","1,205","FALA","","What do we have here?","","","TRANSCRIBED","small.en","en","1.0000","1.84"
"134","Batch_002","526885551.wem","Batch_002/0134_526885551.wav","506353323","399000848","422566295","526885551","1,207","FALA","","How's Ash faring?","","","TRANSCRIBED","small.en","en","1.0000","1.89"
"136","Batch_002","834123639.wem","Batch_002/0136_834123639.wav","3540303957","141002095","434980305","834123639","1,213","FALA","","That's a lot of swords.","","","TRANSCRIBED","small.en","en","1.0000","1.90"
"137","Batch_002","938294348.wem","Batch_002/0137_938294348.wav","3411120398","871247096","479443232","938294348","1,217","FALA","","All in a night's work.","","","TRANSCRIBED","small.en","en","1.0000","1.88"
"138","Batch_002","1011669071.wem","Batch_002/0138_1011669071.wav","3447942977","949973051","288066945","1011669071","1,219","FALA","","Famine's getting worse.","","","TRANSCRIBED","small.en","en","1.0000","1.70"
"139","Batch_002","948839576.wem","Batch_002/0139_948839576.wav","3731075189","1056469811","122595610","948839576","1,229","FALA","","They were never kind.","","","TRANSCRIBED","small.en","en","1.0000","1.37"
"140","Batch_002","886897021.wem","Batch_002/0140_886897021.wav","3452444601","286399025","339899159","886897021","1,236","FALA","","The watch happened.","","","TRANSCRIBED","small.en","en","1.0000","1.36"
"141","Batch_002","596342624.wem","Batch_002/0141_596342624.wav","666419965","137678310","410299001","596342624","1,243","FALA","","What are you doing out here?","","","TRANSCRIBED","small.en","en","1.0000","1.37"
"142","Batch_002","723844794.wem","Batch_002/0142_723844794.wav","289368195","218043853","439289755","723844794","1,245","FALA","","THEY DESTROYED THE KEEP!","","","TRANSCRIBED","small.en","en","1.0000","1.41"
"143","Batch_002","286756205.wem","Batch_002/0143_286756205.wav","1703179782","601005225","977406015","286756205","1,266","FALA","","Wanna head over to the burek?","","","TRANSCRIBED","small.en","en","1.0000","1.43"
"144","Batch_002","848134069.wem","Batch_002/0144_848134069.wav","3404660568","57170369","671588910","848134069","1,267","FALA","","I don't know!","","","TRANSCRIBED","small.en","en","1.0000","1.38"
"145","Batch_002","917921297.wem","Batch_002/0145_917921297.wav","1571639502","101690538","852731061","917921297","1,267","FALA","","I'll drink to that.","","","TRANSCRIBED","small.en","en","1.0000","1.35"
"146","Batch_002","239395106.wem","Batch_002/0146_239395106.wav","3264861813","455383523","203302226","239395106","1,275","FALA","","Beware!","","","TRANSCRIBED","small.en","en","1.0000","1.33"
"147","Batch_002","911282662.wem","Batch_002/0147_911282662.wav","3142304963","783691453","582915972","911282662","1,28","FALA","","Why'd you join the watch?","","","TRANSCRIBED","small.en","en","1.0000","1.40"
"149","Batch_002","184517543.wem","Batch_002/0149_184517543.wav","1198737572","365629827","597156993","184517543","1,301","FALA","","FREEDOM","","","TRANSCRIBED","small.en","en","1.0000","1.36"
"150","Batch_002","419074368.wem","Batch_002/0150_419074368.wav","252618756","442921647","356182496","419074368","1,307","FALA","","Well, he had it coming.","","","TRANSCRIBED","small.en","en","1.0000","1.42"
"151","Batch_002","483424404.wem","Batch_002/0151_483424404.wav","3797829059","98869873","852959444","483424404","1,316","FALA","","I can fit through here.","","","TRANSCRIBED","small.en","en","1.0000","1.35"
"152","Batch_002","793668433.wem","Batch_002/0152_793668433.wav","1476413656","924379110","477459611","793668433","1,316","FALA","","This could be worth something.","","","TRANSCRIBED","small.en","en","1.0000","1.34"
"153","Batch_002","324025043.wem","Batch_002/0153_324025043.wav","3197501496","163778031","665836850","324025043","1,322","FALA","","You still have your book?","","","TRANSCRIBED","small.en","en","1.0000","1.35"
"155","Batch_002","368819908.wem","Batch_002/0155_368819908.wav","602792762","994157173","458932156","368819908","1,325","FALA","","We're already going hungry.","","","TRANSCRIBED","small.en","en","1.0000","1.35"
"156","Batch_002","86148928.wem","Batch_002/0156_86148928.wav","2565760583","570273374","227351358","86148928","1,327","FALA","","They like faith, brother!","","","TRANSCRIBED","small.en","en","1.0000","1.38"
"157","Batch_002","158413004.wem","Batch_002/0157_158413004.wav","1601078373","895019799","131761106","158413004","1,328","FALA","","Uh, yes.","","","TRANSCRIBED","small.en","en","1.0000","1.35"
"158","Batch_002","352232437.wem","Batch_002/0158_352232437.wav","766606842","391164112","996095719","352232437","1,333","FALA","","One down, one to go.","","","TRANSCRIBED","small.en","en","1.0000","1.37"
"159","Batch_002","415162792.wem","Batch_002/0159_415162792.wav","2525315717","597649411","252320662","415162792","1,335","FALA","","What are you paying, aren't you?","","","TRANSCRIBED","small.en","en","1.0000","1.38"
